comparison,delta_accuracy,delta_balanced_accuracy,delta_auc,delta_f1,delta_real_accuracy,delta_fake_accuracy
B1_minus_B0,-0.002095224333501844,1.3213472655815295e-05,0.005673399066739693,-0.002938409353429816,0.0076030412164865835,-0.007576614271174953
B2_minus_B1,0.09276786359367095,0.07199082279072433,0.007237871966608633,0.08940495597251985,-0.0028011204481792618,0.14678276602962803
B2_minus_B0,0.09067263926016911,0.07200403626338014,0.012911271033348326,0.08646654661909003,0.004801920768307322,0.13920615175845308
