model,samples,threshold,accuracy,balanced_accuracy,auc,precision,recall,f1,real_accuracy,fake_accuracy,mean_prob_real,mean_prob_fake,tp,tn,fp,fn
baseline0,13841,0.0758147,0.8292030922621197,0.8636815689749834,0.9802123495559029,0.9907589759127405,0.7395680199027479,0.8469308469308469,0.9877951180472189,0.7395680199027479,0.00594575236889837,0.5399157329187488,6540,4937,61,2303
baseline1,13841,0.59710413,0.8271078679286179,0.8636947824476392,0.9858857486226426,0.9964593596059114,0.7319914056315729,0.843992437577417,0.9953981592637055,0.7319914056315729,0.00633767744977426,0.7398447296356263,6473,4975,23,2370
baseline2_njr,13841,0.55657113,0.9198757315222889,0.9356856052383635,0.9931236205892512,0.9952612704918032,0.878774171661201,0.9333973935499369,0.9925970388155262,0.878774171661201,0.009116174037859123,0.8804908429494548,7771,4961,37,1072
